location,start,choice,end,session,trial,animal,date,test,passed,mapping
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S3--06092017_CSubRet1_+maze_trial_3_3.set,82.34,85.64,91.12,3,3,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S4--06092017_CSubRet1_+maze_trial_3_4.set,8.98,10.12,13.4,3,4,CSubRet1,6092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S4--06092017_CSubRet1_+maze_trial_3_4.set,47.5,50.78,54.54,3,4,CSubRet1,6092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S5--06092017_CSubRet1_+maze_trial_3_5.set,19.8,22.96,26.32,3,5,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S5--06092017_CSubRet1_+maze_trial_3_5.set,80.12,81.92,83.44,3,5,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S6--06092017_CSubRet1_+maze_trial_3_6.set,23.34,24.88,28.14,3,6,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S6--06092017_CSubRet1_+maze_trial_3_6.set,74.24,75.86,78.44,3,6,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S7--06092017_CSubRet1_+maze_trial_3_7.set,14.8,22.2,28.36,3,7,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S7--06092017_CSubRet1_+maze_trial_3_7.set,70.6,74.18,76.9,3,7,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S8--06092017_CSubRet1_+maze_trial_3_8.set,11.86,13.8,23.74,3,8,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S8--06092017_CSubRet1_+maze_trial_3_8.set,59.88,64.74,66.9,3,8,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S1--11092017_CSubRet1_+maze_trial_5_1.set,19,21.68,24.22,5,1,CSubRet1,11092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S1--11092017_CSubRet1_+maze_trial_5_1.set,58.84,59.9,61.58,5,1,CSubRet1,11092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S2--11092017_CSubRet1_+maze_trial_5_2.set,19.26,21.66,29.12,5,2,CSubRet1,11092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S2--11092017_CSubRet1_+maze_trial_5_2.set,61.1,62.24,63.56,5,2,CSubRet1,11092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S3--11092017_CSubRet1_+maze_trial_5_3.set,11.28,13.54,16.36,5,3,CSubRet1,11092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S3--11092017_CSubRet1_+maze_trial_5_3.set,54.76,56.32,58.4,5,3,CSubRet1,11092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S4--11092017_CSubRet1_+maze_trial_5_4.set,11.4,12.58,21.42,5,4,CSubRet1,11092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S4--11092017_CSubRet1_+maze_trial_5_4.set,55.42,56.36,57.86,5,4,CSubRet1,11092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S5--11092017_CSubRet1_+maze_trial_5_5.set,5.04,7.26,17.8,5,5,CSubRet1,11092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S5--11092017_CSubRet1_+maze_trial_5_5.set,51.16,52.18,53.92,5,5,CSubRet1,11092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S6--11092017_CSubRet1_+maze_trial_5_6.set,15.66,17.2,18.88,5,6,CSubRet1,11092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S6--11092017_CSubRet1_+maze_trial_5_6.set,51.88,53,54.28,5,6,CSubRet1,11092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S7--11092017_CSubRet1_+maze_trial_5_7.set,13.74,16.3,18.08,5,7,CSubRet1,11092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S7--11092017_CSubRet1_+maze_trial_5_7.set,59.3,60.8,64.04,5,7,CSubRet1,11092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S8--11092017_CSubRet1_+maze_trial_5_8.set,12.88,14.98,16.36,5,8,CSubRet1,11092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--11092017_5th--S8--11092017_CSubRet1_+maze_trial_5_8.set,47.8,49.04,50.68,5,8,CSubRet1,11092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S1--12092017_CSubRet1_+maze_trial_6_1.set,11.46,21.22,24.82,6,1,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S1--12092017_CSubRet1_+maze_trial_6_1.set,60.08,61.52,63.34,6,1,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S2--12092017_CSubRet1_+maze_trial_6_2.set,28.36,31.14,32.76,6,2,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S2--12092017_CSubRet1_+maze_trial_6_2.set,60.36,61.68,63.26,6,2,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S3--12092017_CSubRet1_+maze_trial_6_3.set,10.38,11.22,12.28,6,3,CSubRet1,12092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S3--12092017_CSubRet1_+maze_trial_6_3.set,50.92,52,53.54,6,3,CSubRet1,12092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S4--12092017_CSubRet1_+maze_trial_6_4.set,33.86,35.32,37.06,6,4,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S4--12092017_CSubRet1_+maze_trial_6_4.set,71.66,73.54,75.94,6,4,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S5--12092017_CSubRet1_+maze_trial_6_5.set,5.44,6.6,8.1,6,5,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S5--12092017_CSubRet1_+maze_trial_6_5.set,31.32,32.74,34.5,6,5,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S6--12092017_CSubRet1_+maze_trial_6_6.set,8.78,12.7,15.28,6,6,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S6--12092017_CSubRet1_+maze_trial_6_6.set,88.72,90.36,91.3,6,6,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S7--12092017_CSubRet1_+maze_trial_6_7.set,5.08,6.64,12.28,6,7,CSubRet1,12092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S7--12092017_CSubRet1_+maze_trial_6_7.set,43.7,45.42,47.08,6,7,CSubRet1,12092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S8--12092017_CSubRet1_+maze_trial_6_8.set,19.42,25.02,26.24,6,8,CSubRet1,12092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--12092017_6th--S8--12092017_CSubRet1_+maze_trial_6_8.set,54.9,56.14,58.06,6,8,CSubRet1,12092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S1--13092017_CSubRet1_+maze_trial_7_1.set,21.84,25.56,27.6,7,1,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S1--13092017_CSubRet1_+maze_trial_7_1.set,89.84,94.12,95.88,7,1,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S2--13092017_CSubRet1_+maze_trial_7_2.set,22.36,23.84,26.24,7,2,CSubRet1,13092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S2--13092017_CSubRet1_+maze_trial_7_2.set,59.16,60.44,63,7,2,CSubRet1,13092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S3--13092017_CSubRet1_+maze_trial_7_3.set,35,36.26,37.44,7,3,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S3--13092017_CSubRet1_+maze_trial_7_3.set,72.02,72.94,74.5,7,3,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S4--13092017_CSubRet1_+maze_trial_7_4.set,22.42,24.84,26.2,7,4,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S4--13092017_CSubRet1_+maze_trial_7_4.set,78.36,79.68,81.02,7,4,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S5--13092017_CSubRet1_+maze_trial_7_5.set,37.7,39.98,41.46,7,5,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S5--13092017_CSubRet1_+maze_trial_7_5.set,60.24,61.68,62.54,7,5,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S6--13092017_CSubRet1_+maze_trial_7_6.set,6.68,8.06,9.24,7,6,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S6--13092017_CSubRet1_+maze_trial_7_6.set,40.74,42.2,43.3,7,6,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S7--13092017_CSubRet1_+maze_trial_7_7.set,20.18,21.4,23.1,7,7,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S7--13092017_CSubRet1_+maze_trial_7_7.set,53.54,54.3,55.82,7,7,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S8--13092017_CSubRet1_+maze_trial_7_8.set,10.78,12.08,14.14,7,8,CSubRet1,13092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--13092017_7th--S8--13092017_CSubRet1_+maze_trial_7_8.set,51.46,53.34,54.66,7,8,CSubRet1,13092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S1--14092017_CSubRet1_+maze_trial_8_1.set,12.02,13.82,17.82,8,1,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S1--14092017_CSubRet1_+maze_trial_8_1.set,61.04,62.64,64.62,8,1,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S2--14092017_CSubRet1_+maze_trial_8_2.set,11.44,13.02,14.48,8,2,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S2--14092017_CSubRet1_+maze_trial_8_2.set,65.98,67.16,70.4,8,2,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S3--14092017_CSubRet1_+maze_trial_8_3.set,26.72,29.5,31.26,8,3,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S3--14092017_CSubRet1_+maze_trial_8_3.set,81.84,83,88.08,8,3,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S4--14092017_CSubRet1_+maze_trial_8_4.set,23.16,25.02,26.52,8,4,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S4--14092017_CSubRet1_+maze_trial_8_4.set,57.26,58.5,60,8,4,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S5--14092017_CSubRet1_+maze_trial_8_5.set,20.6,22.12,23.48,8,5,CSubRet1,14092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S5--14092017_CSubRet1_+maze_trial_8_5.set,50.72,54.38,55.92,8,5,CSubRet1,14092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S6--14092017_CSubRet1_+maze_trial_8_6.set,11.68,13.34,15.54,8,6,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S6--14092017_CSubRet1_+maze_trial_8_6.set,49.6,51.08,52.78,8,6,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S7--14092017_CSubRet1_+maze_trial_8_7.set,12.08,13.34,15,8,7,CSubRet1,14092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S7--14092017_CSubRet1_+maze_trial_8_7.set,57.64,58.64,60.18,8,7,CSubRet1,14092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S8--14092017_CSubRet1_+maze_trial_8_8.set,16.54,19.7,21.04,8,8,CSubRet1,14092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--14092017_8th--S8--14092017_CSubRet1_+maze_trial_8_8.set,55.02,56.3,58.64,8,8,CSubRet1,14092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S1--15092017_CSubRet1_+maze_trial_9_1.set,28.5,33.16,34.78,9,1,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S1--15092017_CSubRet1_+maze_trial_9_1.set,81.2,82.28,84.7,9,1,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S2--15092017_CSubRet1_+maze_trial_9_2.set,14.72,21.86,23.66,9,2,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S2--15092017_CSubRet1_+maze_trial_9_2.set,48.3,49.58,52.9,9,2,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S3--15092017_CSubRet1_+maze_trial_9_3.set,16.96,18.68,21.46,9,3,CSubRet1,15092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S3--15092017_CSubRet1_+maze_trial_9_3.set,73.74,74.96,77.22,9,3,CSubRet1,15092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S4--15092017_CSubRet1_+maze_trial_9_4.set,13.6,14.46,15.76,9,4,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S4--15092017_CSubRet1_+maze_trial_9_4.set,46.44,48.2,49.24,9,4,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S5--15092017_CSubRet1_+maze_trial_9_5.set,18.82,19.96,21.04,9,5,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S5--15092017_CSubRet1_+maze_trial_9_5.set,53.44,54.02,55.34,9,5,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S6--15092017_CSubRet1_+maze_trial_9_6.set,3.58,5.46,6.82,9,6,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S6--15092017_CSubRet1_+maze_trial_9_6.set,45.04,46.3,47.6,9,6,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S7--15092017_CSubRet1_+maze_trial_9_7.set,9.82,11.26,12.3,9,7,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S7--15092017_CSubRet1_+maze_trial_9_7.set,46.12,50.24,52.12,9,7,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S8--15092017_CSubRet1_+maze_trial_9_8.set,10,13.84,17.54,9,8,CSubRet1,15092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--15092017_9th--S8--15092017_CSubRet1_+maze_trial_9_8.set,44.74,45.92,46.9,9,8,CSubRet1,15092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet2_sham--CSubRet2_recording--+maze--04092017_first trial--S1--04092017_CSubRet2_+maze_trial_1_1.set,7.36,17.52,18.88,1,1,CSubRet2,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet2_sham--CSubRet2_recording--+maze--04092017_first trial--S1--04092017_CSubRet2_+maze_trial_1_1.set,52.02,54.36,56.14,1,1,CSubRet2,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet2_sham--CSubRet2_recording--+maze--04092017_first trial--S2--04092017_CSubRet2_+maze_trial_1_2.set,5.34,7.48,10.02,1,2,CSubRet2,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet2_sham--CSubRet2_recording--+maze--04092017_first trial--S2--04092017_CSubRet2_+maze_trial_1_2.set,47.28,50.18,53.44,1,2,CSubRet2,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet2_sham--CSubRet2_recording--+maze--04092017_first trial--S3--04092017_CSubRet2_+maze_trial_1_3.set,7.68,19.18,20.9,1,3,CSubRet2,4092017,first,N,CL-SR_1-3-no-cells.py
